Loading net-file from 'C:\Users\P14s\OneDrive\Desktop\bk\vn.net.xml' ... done (30ms).
Loading additional-files from 'C:\Users\P14s\OneDrive\Desktop\bk\vtype.xml' ... done (2ms).
Loading route-files incrementally from 'C:\Users\P14s\OneDrive\Desktop\bk\full_routes.xml'
Loading done.
Simulation started with time: 0.00.
Warning: Vehicle 'peak_morning_we_top_moto.0' performs emergency braking on lane 'N_out_1w_to_J1_0' with decel=10.00, wished=4.50, severity=1.00, time=21.80.
Warning: Vehicle 'base_ew_top_moto.1' performs emergency braking on lane 'N_out_3e_to_J3_0' with decel=10.00, wished=4.50, severity=1.00, time=25.20.
Warning: Vehicle 'peak_morning_we_top_moto.2' performs emergency braking on lane 'N_out_1w_to_J1_1' with decel=10.00, wished=4.50, severity=1.00, time=28.70.
Warning: Vehicle 'peak_morning_we_top_moto.4' performs emergency braking on lane 'N_out_1w_to_J1_0' with decel=10.00, wished=4.50, severity=1.00, time=30.00.
Warning: Vehicle 'base_ew_top_moto.2' performs emergency braking on lane 'N_out_3e_to_J3_0' with decel=10.00, wished=4.50, severity=1.00, time=30.40.
Warning: Vehicle 'base_ns_right_moto.1' performs emergency braking on lane 'J3_to_J6_0' with decel=10.00, wished=4.50, severity=1.00, time=31.40.
Warning: Vehicle 'base_sn_right_moto.3' performs emergency braking on lane 'J9_to_J6_0' with decel=10.00, wished=4.50, severity=1.00, time=33.40.
Warning: Vehicle 'base_we_top_moto.2' performs emergency braking on lane 'N_out_1w_to_J1_0' with decel=10.00, wished=4.50, severity=1.00, time=41.60.
Warning: Vehicle 'peak_morning_we_bot_moto.8' performs emergency braking on lane 'N_out_7_to_J7_0' with decel=10.00, wished=4.50, severity=1.00, time=42.80.
Warning: Vehicle 'base_ns_left_moto.1' performs emergency braking on lane 'J1_to_J4_0' with decel=10.00, wished=4.50, severity=1.00, time=42.90.
Warning: Vehicle 'base_ns_right_moto.5' performs emergency braking on lane 'J3_to_J6_0' with decel=10.00, wished=4.50, severity=1.00, time=44.10.
Warning: Vehicle 'base_ew_bot_moto.9' performs emergency braking on lane 'N_out_9_to_J9_0' with decel=10.00, wished=4.50, severity=1.00, time=45.20.
Warning: Vehicle 'base_ns_right_moto.3' performs emergency braking on lane 'J3_to_J6_0' with decel=10.00, wished=4.50, severity=1.00, time=45.30.
Warning: Vehicle 'base_sn_left_moto.2' performs emergency braking on lane ':J4_12_0' with decel=10.00, wished=4.50, severity=1.00, time=47.50.
Warning: Vehicle 'base_ew_top_moto.6' performs emergency braking on lane 'N_out_3e_to_J3_1' with decel=10.00, wished=4.50, severity=1.00, time=48.70.
Warning: Vehicle 'base_sn_left_moto.7' performs emergency braking on lane 'J7_to_J4_0' with decel=10.00, wished=4.50, severity=1.00, time=49.00.
Warning: Vehicle 'base_sn_left_moto.2' performs emergency braking on lane ':J4_12_0' with decel=10.00, wished=4.50, severity=1.00, time=49.10.
Warning: Vehicle 'peak_morning_we_top_moto.9' performs emergency braking on lane 'N_out_1w_to_J1_0' with decel=10.00, wished=4.50, severity=1.00, time=50.30.
Warning: Vehicle 'base_ew_top_moto.6' performs emergency braking on lane 'N_out_3e_to_J3_1' with decel=10.00, wished=4.50, severity=1.00, time=51.20.
Warning: Vehicle 'base_we_top_moto.2' performs emergency braking on lane ':J1_16_1' with decel=10.00, wished=4.50, severity=1.00, time=51.50.
Warning: Vehicle 'base_sn_right_moto.12' performs emergency braking on lane 'N_out_9s_to_J9_0' with decel=10.00, wished=4.50, severity=1.00, time=52.40.
Warning: Vehicle 'base_ns_right_moto.12' performs emergency braking on lane 'N_out_3_to_J3_0' with decel=10.00, wished=4.50, severity=1.00, time=52.60.
Warning: Vehicle 'peak_morning_we_top_moto.15' performs emergency braking on lane 'N_out_1w_to_J1_0' with decel=10.00, wished=4.50, severity=1.00, time=53.00.
Warning: Vehicle 'peak_morning_we_bot_moto.0' performs emergency braking on lane 'J7_to_J8_1' with decel=10.00, wished=4.50, severity=1.00, time=53.30.
Warning: Vehicle 'base_ew_top_moto.6' performs emergency braking on lane ':J3_6_0' with decel=10.00, wished=4.50, severity=1.00, time=54.20.
Warning: Vehicle 'base_we_top_moto.0' performs emergency braking on lane 'J1_to_J2_0' with decel=10.00, wished=4.50, severity=1.00, time=55.10.
Warning: Vehicle 'base_ew_bot_car.1' performs emergency braking on lane 'J9_to_J8_1' with decel=9.00, wished=4.50, severity=1.00, time=55.20.
Warning: Vehicle 'base_ew_bot_moto.8' performs emergency braking on lane 'J9_to_J8_1' with decel=10.00, wished=4.50, severity=1.00, time=55.30.
Warning: Vehicle 'base_we_top_moto.4' performs emergency braking on lane 'J1_to_J2_1' with decel=10.00, wished=4.50, severity=1.00, time=57.50.
Warning: Vehicle 'base_ew_bot_moto.11' performs emergency braking on lane 'J9_to_J8_1' with decel=10.00, wished=4.50, severity=1.00, time=57.50.
Warning: Vehicle 'base_we_bot_moto.3' performs emergency braking on lane 'J7_to_J8_0' with decel=10.00, wished=4.50, severity=1.00, time=57.80.
Warning: Vehicle 'base_ew_bot_moto.13' performs emergency braking on lane 'J9_to_J8_0' with decel=10.00, wished=4.50, severity=1.00, time=60.00.
